DriveID,Driver,Vehicle,WindDirection(deg),WindSpeed(mph),GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Miles Per Gallon(Instant)(mpg),Mass Air Flow Rate(cfm),Accel Pedal Pos #1(%),Trip average MPG(mpg),Vehicle Load(%),Throttle Position(%),Fuel used (trip)(gal),Absolute Throttle Position B(%),Air Fuel Ratio(Measured)(:1),Engine RPM(rpm),Engine Load(Absolute)(%),Trip Distance(miles),Cost per mile(Instant),Ambient Temp(F),Cost per mile(Trip),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s)
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:06 CST 2013,12/3/2013 13:48:09,-86.74285307,34.58733046,0.5,4,160.100006103516,185,-0.1963916,7.829319,6.50966311,0.05711764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:06 CST 2013,12/3/2013 13:48:10,-86.74285307,34.58733046,0.5,4,160.100006103516,185,-0.47780639,8.09756088,6.36117172,0.06980616,0,0,0,0,23.92156792,2.35294127,0,0,0,0,0,0.00093128,0,58.35200119,0,0,0.98400003,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:06 CST 2013,12/3/2013 13:48:11,-86.74285307,34.58733046,0.5,4,160.100006103516,185,-0.47780639,8.09756088,6.36117172,0.06980616,0,0,0,0,23.52941132,2.35294127,0,0,0,0,0,0.00093128,0,58.35200119,0,1,1.50399995,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:06 CST 2013,12/3/2013 13:48:12,-86.74285307,34.58733046,0.5,4,160.100006103516,185,-0.47780639,8.09756088,6.36117172,0.06980616,7.008389,44.19786072,0,7.008389,23.52941132,2.35294127,0,0,0,1304.5,0,0.00279099,0,58.35200119,0,2,2.94400001,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:06 CST 2013,12/3/2013 13:48:13,-86.74285307,34.58733046,0.5,4,160.100006103516,185,-0.47780639,8.09756088,6.36117172,0.06980616,7.008389,44.19786072,0,7.008389,23.52941132,2.35294127,0,50.98039246,14.49319172,1304.5,23.52941132,0.00279099,0,58.35200119,0,3,3.78600001,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:06 CST 2013,12/3/2013 13:48:14,-86.74285307,34.58733046,0.5,4,160.100006103516,185,-0.08382569,8.59452724,5.29299307,0.04794937,5.77741241,44.67914581,0,6.39290047,23.13725471,1.56862748,0.00032923,50.98039246,14.47345161,1321,23.52941132,0.00413522,0,58.35200119,0,5,5.04099989,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:06 CST 2013,12/3/2013 13:48:15,-86.74285307,34.58733046,0.5,4,160.100006103516,185,-1.07177126,9.02203846,5.09420633,0.08079201,5.77741241,44.67914581,0,6.39290047,23.13725471,1.56862748,0.00032923,52.15686417,14.72915936,1321,29.41176414,0.00413522,0,58.35200119,0,5,5.69500017,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:06 CST 2013,12/3/2013 13:48:16,-86.74285307,34.58733046,0.5,4,160.100006103516,185,-1.53760254,8.90587997,5.62350607,0.10405356,2.66318798,58.15507889,0,5.14966297,29.80392075,1.17647064,0.00069287,52.15686417,14.83144188,1311.5,29.41176414,0.00545184,0,58.35200119,0.15704842,6,6.94899988,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:17 CST 2013,12/3/2013 13:48:17,-86.74285309,34.58737307,1,3,154.300003051758,100,-1.44419682,8.56818199,5.46184206,0.06518728,2.66318798,58.15507889,0,5.14966297,29.80392075,1.17647064,0.00069287,52.15686417,14.73992634,1311.5,30.98039246,0.00545184,0,58.35200119,0.15704842,7,7.96799994,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:18 CST 2013,12/3/2013 13:48:18,-86.74283219,34.58737284,1.5,3,155.100006103516,91.4,-0.99872315,8.53465176,5.47860718,0.05781978,4.43864632,58.15507889,0,4.97190905,30.98039246,3.92156863,0.00106478,52.15686417,14.55913639,1318.75,30.98039246,0.0082966,0.26476347,58.35200119,0.18306156,9,9.07199955,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:18 CST 2013,12/3/2013 13:48:19,-86.74283219,34.58737284,1.5,3,155.100006103516,91.4,-0.78796142,8.96096516,5.18401957,0.07734662,4.43864632,58.15507889,0,4.97190905,30.98039246,6.66666651,0.00106478,52.15686417,14.55913639,1318.75,31.37254906,0.0082966,0.26476347,58.35200119,0.18306156,9,9.42599964,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:18 CST 2013,12/3/2013 13:48:20,-86.74283219,34.58737284,1.5,3,155.100006103516,91.4,-0.67300051,9.15735722,5.15168715,0.09224492,10.68221951,57.99465179,0,6.11397123,30.98039246,6.66666651,0.00141698,51.76470566,14.45102215,1303,31.37254906,0.01276175,0.11604183,58.35200119,0.16008167,10,10.90299988,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:18 CST 2013,12/3/2013 13:48:21,-86.74283219,34.58737284,1.5,3,155.100006103516,91.4,-1.49209714,8.69631577,5.07265139,0.05647451,16.79734993,58.39572144,0,7.89453411,30.98039246,8.62745094,0.00171349,51.76470566,14.45102215,1293.75,30.98039246,0.0184996,0.11604183,58.35200119,0.1258489,12,12.05300045,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:18 CST 2013,12/3/2013 13:48:22,-86.74283219,34.58737284,1.5,3,155.100006103516,91.4,-0.64665526,8.61368752,5.24748802,0.04926735,16.79734993,58.39572144,0,7.89453411,30.58823586,10.1960783,0.00171349,51.76470566,14.38687134,1293.75,30.98039246,0.0184996,0.11604183,58.35200119,0.1258489,12,12.60299969,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:23 CST 2013,12/3/2013 13:48:23,-86.74247385,34.58744374,7.75,3,153.300003051758,76.9,-0.64665526,8.61368752,5.24748802,0.04926735,20.79057121,57.11229706,0,9.73682499,30.58823586,10.1960783,0.00203404,51.76470566,14.39404869,1300,30.98039246,0.02567385,0.05668654,58.35200119,0.10305662,14,14.02000046,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:24 CST 2013,12/3/2013 13:48:24,-86.74238364,34.58746998,8.25,4,153.800003051758,76.7,-0.64665526,8.61368752,5.24748802,0.04926735,20.79057121,57.11229706,0,9.73682499,30.58823586,10.1960783,0.00203404,51.76470566,14.39404869,1300,30.98039246,0.02567385,0.05668654,58.35200119,0.10305662,14,14.33699989,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:25 CST 2013,12/3/2013 13:48:25,-86.74228852,34.58748513,8.75,3,153.399993896484,76.5,-0.64665526,8.61368752,5.24748802,0.04926735,17.0652504,84.70588684,0,10.65287781,49.80392075,11.76470566,0.00269809,51.76470566,14.39404869,1255.25,30.98039246,0.05761879,0.0867566,58.35200119,0.09850178,15,15.90699959,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:26 CST 2013,12/3/2013 13:48:26,-86.7421896,34.58750333,9,3,152.699996948242,76.4,0.07065307,8.92504025,5.57440805,0.09168977,17.0652504,84.70588684,0,10.65287781,49.80392075,11.76470566,0.00269809,51.76470566,14.56990337,1255.25,30.98039246,0.06339578,0.0867566,58.35200119,0.09850178,16,16.96899986,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:27 CST 2013,12/3/2013 13:48:27,-86.74209496,34.58752724,9.25,3,152.800003051758,76.3,-0.50295413,8.22329998,6.45457745,0.08587068,17.0652504,84.70588684,0,10.65287781,49.80392075,11.76470566,0.00269809,52.54901886,14.42141438,1255.25,34.11764526,0.06903706,0.0867566,58.35200119,0.09850178,17,17.72400093,0
Zuri - Tue Dec 03 13:48:06 CST 2013,Zuri,Civic,140,7,Tue Dec 03 13:48:27 CST 2013,12/3/2013 13:48:28,-86.74209496,34.58752724,9.25,3,152.800003051758,76.3,-0.43110353,8.90947247,6.29770374,0.13205284,25.81075859,62.00534821,0,12.33708668,33.33333206,12.54901981,0.0033578,52.54901886,14.42141438,1298.25,34.11764526,0.06903706,0.13257591,58.35200119,0.04558805,18,18.89599991,0
